DATE,USER,MESSAGE
2026-03-11 17:29:54,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2026-03-11 17:30:43,익째,"안녕하세요~ 뽐뿌보고 연락드려요
유튜브 프리미엄 개인용 1년에 5만원 맞을까요 ?"
2026-03-11 17:30:58,SharePlan,안녕하세요 
2026-03-11 17:31:02,SharePlan,"네, 맞습니다 "
2026-03-11 17:31:24,익째,가족결합식 아닌 개인용 맞다면 1년 구매하고싶습니다~!
2026-03-11 17:32:09,익째,"jjajung444@gmail.com

유튜브 프리미엄 12개월

50,000원

정익재"
2026-03-11 17:33:09,SharePlan,"초대방식
- 다른 가족 회원을 모집할 수 없음

개인 계정 (관리자)
- 회원 모집 가능

관리자 Vs. 구성원 차이 입니다. 제 생각에는, 원하는 상품이 개인 계정이 아닌 가족 초대 방식 입니다. 개인 계정으로 얻는 혜택은 다른 회원을 모집하는 것 외는 없습니다. 저 같이 다른 회원을 모집하고 싶으면 개인 계정을 추천 드립니다.

항상 패밀리 초대 방식을 추천 합니다. 개인 가입형은 패밀리 모집하기 위함이며 혼자서 사용하면 낭비 입니다. 즉, 개인 계정 사용할 이유가 없습니다."
2026-03-11 17:35:33,SharePlan,가입 진행 해드려도 괸찮을까요?
2026-03-11 17:36:01,익째,내용을 잘 이해를못하고있는중입니다 ㅠ
2026-03-11 17:36:57,SharePlan,"아마 한국에서는 가족 플랜 개념을 전혀 몰라서 그럴 수도 있습니다. 간단히 말하자면, 개인 계정은 사용할 이유가 별로 없습니다"
2026-03-11 17:38:21,익째,아...결국엔 제가 다른가족계정에 초대를 받아서 들어가야한다는 말씀이신거죠 ?
2026-03-11 17:38:41,SharePlan,"한국은 어쩔 수 없이 (구글에서 제공하지 않아서) 개인 가입 방식을 사용하고 있는데 개인 보다 가족 가입이 훨씬 더 좋습니다.
개인 계정이 아닌 개인 가입 입니다. 혜택을 나누지 않는다는 뜻 입니다. 아니면"
2026-03-11 17:38:43,SharePlan,네
2026-03-11 17:38:47,SharePlan,맞습니다
2026-03-11 17:38:56,SharePlan,"그런데, 이 방법이 더 좋은 것 입니다."
2026-03-11 17:39:07,익째,아...저는 개인계정이라고해서 제 계정으로 결제를해주시는걸로 알았습니다 죄송합니다 
2026-03-11 17:39:26,SharePlan,개인 이라 불려져서 좋은 것 같은데 그렇지 않습니다. 큰 오해 입니다.
2026-03-11 17:39:37,SharePlan,둘 다 개인 계정 입니다
2026-03-11 17:40:03,익째,네 무슨말씀인지 이해는했는데 이전에 가족계정에 초대로 들어갔을때 마무리가 안좋았어서 죄송합니다
2026-03-11 17:40:05,SharePlan,개인 가입 형태와 가족 구성원 형태로 가입 하는 차이 입니다.
2026-03-11 17:40:18,SharePlan,이해 했습니다
2026-03-11 17:40:31,SharePlan,저는 그런 일이 없도록 관리 해드립니다
