DATE,USER,MESSAGE
2025-09-21 19:45:59,SharePlan,"'SharePlan' 입니다.  궁금한 내용이 있으면 메시지를 입력해주세요.
(채널 안내 공지)

안녕하세요, 채널 운영자입니다.

현재 유튜브 구독권 안정성 문제로 의해 신규 가입을 중단 했습니다.

신규 가입이 재개될 경우
직접 안내드리거나, 이 공지사항을 통해 다시 알려드리겠습니다.

이용에 불편을 드려 죄송합니다.
양해해주셔서 감사합니다.

(** 기존 고객은 걱정할 것 없습니다. 약속 기간 보장 또는 환불 해드리겠습니다)
더 이상 채팅을 원치 않으시면 채팅목록에서 '채팅방 나가기'를 해주세요."
2025-09-21 19:46:00,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2025-09-21 19:46:14,오거,안녕하세요 
2025-09-21 19:50:46,오거,결제 안내
2025-09-21 19:50:46,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2025-09-21 19:50:51,오거,서비스 목록
2025-09-21 19:50:51,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-09-21 20:27:18,SharePlan,안녕하세요
2025-09-21 20:27:44,오거,유튜브 프리미엄 이용하고 싶은데
2025-09-21 20:28:06,SharePlan,"네, 가입 가능합니다"
2025-09-21 20:28:30,오거,네 6개월 가입은
2025-09-21 20:28:39,오거,얼마로 되있나요?
2025-09-21 20:29:04,SharePlan,"제가 메시지를 지금 봤습니다. 결제 완료 후 바로 도와드리겠습니다.
6개월/25,000원 입니다."
2025-09-21 20:29:28,오거,네 뽐뿌에서 본거랑
2025-09-21 20:29:35,오거,가격이 같네요
2025-09-21 20:29:57,오거,1년짜리도 있나요?
2025-09-21 20:30:26,SharePlan,지금은 6개월 단위로만 가능 합니다
2025-09-21 20:30:55,오거,그럼 6개월
2025-09-21 20:31:00,오거,가입할게요
2025-09-21 20:31:09,SharePlan,최근에 유튜브 구독권이 불안정해서 테스트 기간 입니다
2025-09-21 20:32:28,SharePlan,결제 하기 버튼 누르면 결제 정보를 볼 수 있습니다
2025-09-21 20:32:59,SharePlan,이메일 아이디는 어떻게 되세요?
2025-09-21 20:34:22,오거,네 01023635842a@gmail.com 입니다
2025-09-21 20:34:39,오거,결제 안내
2025-09-21 20:34:39,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2025-09-21 20:35:06,SharePlan,"네, 잠시 후 완료되면 알려드리겠습니다."
2025-09-21 20:35:53,오거,결제 안내
2025-09-21 20:35:53,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2025-09-21 20:53:36,SharePlan,완료 되었습니다!
2025-09-21 20:54:01,오거,네
2025-09-21 20:54:05,SharePlan,이메일으로 초대장 보냈습니다. 수락하시면 프리미엄 바로 사용 가능합니다.
2025-09-21 20:57:13,오거,서비스 목록
2025-09-21 20:57:13,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-09-21 21:00:42,SharePlan,가입이 잘 안되거나 문제가 발생하면 저에게 알려주세요
2025-09-21 21:01:00,SharePlan,전화/메시지로 알려주시면 제가 해결 해드리겠습니다
2025-09-21 21:01:15,오거,이메일 로그인이 안되서
2025-09-21 21:02:09,SharePlan,만일 다른 계정으로 초대장이 필요 하다면 재전송 해드리리겠습니다
2025-09-21 21:02:40,오거,네 다른 계정으로 부탁드려요
2025-09-21 21:03:00,SharePlan,"초대장 수락은 아래에 있는 링크에서도 수락이 가능 합니다.

https://myaccount.google.com/family/details?pli=1"
2025-09-21 21:03:13,SharePlan,로그인이 되었다면 수락이 가능햇요
2025-09-21 21:03:17,SharePlan,해요**
2025-09-21 21:04:45,오거,stst10510@gmail.com
2025-09-21 21:04:53,오거,이걸로 할게요
2025-09-21 21:08:07,SharePlan,네
2025-09-21 21:10:38,SharePlan,완료 되었습니다!
2025-09-21 21:11:25,오거,네 수락했어요
2025-09-21 21:11:40,SharePlan,"네,알겠습니다."
2025-09-21 21:12:12,SharePlan,문제 발생시 알려주시면 해결 해드리겠습니다.
2025-09-21 21:12:25,SharePlan,좋은 밤 되세요~
2025-09-21 21:12:29,오거,네 감사합니다
2026-03-30 14:36:25,SharePlan,"안녕하세요! SharePlan입니다. 구독 기간이 만료되어 안내 연락드립니다.

바쁘신 고객님을 위해 선결제 후 우선 활성화 서비스를 제공해 드리고 있습니다. 답변만 주시면 바로 광고 없이 시청 가능합니다.

1년 플랜이 계정 관리 면에서 가장 안정적이라 추천해 드리고 있으며, 비용은 이번 달과 다음 달로 나누어 부담 없이 결제하셔도 됩니다. 이용하시겠다면 답변 부탁드려요!

(3/21 만료 계정: stst10510@gmail.com)

가격:
6개월: 25,000원
12개월: 50,000원"
