DATE,USER,MESSAGE
2025-11-22 21:55:02,🐵,서비스 목록
2025-11-22 21:55:02,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-11-22 21:55:06,🐵,결제 안내
2025-11-22 21:55:06,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2025-11-22 21:55:23,🐵,udemy 문의드립니다
2025-11-22 22:14:48,🐵,서비스 목록
2025-11-22 22:14:48,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-11-22 23:57:39,SharePlan,안녕하세요
2025-11-22 23:58:41,SharePlan,지금 늦어서 내일 문의 해주시면 답변드리겠습니다
2025-11-23 12:41:31,SharePlan,https://www.ppomppu.co.kr/zboard/view.php?id=gonggu&no=190494&slave=off
2025-11-23 12:43:00,SharePlan,유데미 대해서 문의 하셨는데 제가 해드릴 수 있는 서비스를 뽐뿌에 올렸습니다
2025-11-23 13:33:07,🐵,네 구독 어떻게 할 수 있는지 절차 등 문의드립니다!
2025-11-23 15:32:29,SharePlan,1년 필요하세요?
2025-11-23 15:35:01,🐵,넵
2025-11-23 15:42:59,SharePlan,"지금 12개월은 힘들고 1개월 단뤼로만 가능 합니다.
그래도 가입을 원하시다면 개인 이메일으로 가입이 가능 합니다."
2025-11-23 15:50:18,SharePlan,"유데미, 코레사는 지금 품절 입니다. 광고 수정 했습니다."
2025-11-23 17:05:48,🐵,서비스 목록
2025-11-23 17:05:48,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
