DATE,USER,MESSAGE
2026-04-12 00:10:01,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://m.blog.naver.com/"
2026-04-12 00:10:37,보리20,6개월 이용했는데 계속 이용하고 싶어서요
2026-04-12 00:10:55,SharePlan,안녕하세요
2026-04-12 00:12:39,보리20,작년 10월 14일 결제했었고 오늘 끊겨서요
2026-04-12 00:12:49,보리20,입금하면 될까요?
2026-04-12 00:13:14,SharePlan,"네, 가능 하지만 6개월은 연장이 잘 안되는 경우가 종종 있습니다. 확인이 필요할 것 같습니다"
2026-04-12 00:13:41,보리20,네
2026-04-12 00:14:01,보리20,어떤 확인이 필요한가요?
2026-04-12 00:14:09,SharePlan,구글 정책은 연1회 허용 해요
2026-04-12 00:14:25,SharePlan,아마 가능할 것 같습니다
2026-04-12 00:14:31,보리20,네
2026-04-12 00:14:32,SharePlan,아이디만 알려주세요
2026-04-12 00:15:16,보리20,moongjoy@gmail.com입니다
2026-04-12 00:17:34,SharePlan,"가입하실 때 1년 권을 추천드립니다. 이번에 가입하신 후 구독이 만료되면, 12개월 동안은 가족 그룹 변경이 불가능해요."
2026-04-12 00:18:22,보리20,가족 그룹 변경이 불가하면 새로운 계정으로 해야하는 거죠?
2026-04-12 00:18:43,SharePlan,네
2026-04-12 00:19:38,보리20,만료전에 갱신하면 안 되는 걸까요?
2026-04-12 00:22:01,SharePlan,같은 가족 그룹으로 연장이 안될 때가 있습니다. 한번에 비용이 부담스러우시다면 분할 납부로 진행하셔도 괜찮아요. 예를 들어 절반은 5개월차에 결제 하셔도 됨요
2026-04-12 00:23:08,보리20,비용이 부담스럽기보다는 폭파를 두 번 겪어서요
2026-04-12 00:24:10,보리20,그럼 두번째 결제일때는 연락을 주시나요?
2026-04-12 00:24:18,SharePlan,sp
2026-04-12 00:24:20,SharePlan,네
2026-04-12 00:25:01,보리20,상담 신청
2026-04-12 00:25:01,SharePlan(메뉴),"아래 중 원하시는 항목을 선택해 메시지를 보내 주세요.

1. [상담 문의]
서비스명 / 이용기간 / 이메일
예시: YT, 1년, user@email.com

또는

2. [A/S 신청]
서비스명 / 문제 내용 / 이메일
예시: YT, 로그인 오류, user@email.com

확인 후 이용 안내 또는 처리 절차를 안내드립니다.
"
2026-04-12 00:25:08,SharePlan,완료 되었습니다
2026-04-12 00:25:28,SharePlan,메일의 초대 링크를 승인하시면 즉시 이용 가능합니다. (가입 환경에 따라 승인 지연 시 말씀해 주세요.)
2026-04-12 00:26:30,보리20,"1년권으로 하고 오늘 25,000결제하고 8월에 결제하면 되나요?"
2026-04-12 00:27:05,SharePlan,"네, 맞습니다"
2026-04-12 00:27:31,보리20,그리고 2027년 4월 11까지 이용하는 거고요
2026-04-12 00:28:18,SharePlan,"네, 365일 입니다. 일찍 만료되면 알려주세요."
2026-04-12 00:35:08,보리20,기존 그룹을 탈퇴하라고 하고 가입이 안 되네요
2026-04-12 00:35:39,SharePlan,탈퇴 완료 하셨을까요?
2026-04-12 00:36:16,보리20,기존 그룹 그대로 가는 게 아닌가요?
2026-04-12 00:36:23,SharePlan,메시지 내용이 어떻게 될까요?
2026-04-12 00:37:04,보리20,사진
2026-04-12 00:37:47,SharePlan,가족 그룹 검토 클릭 후 기존 그룹에서 탈퇴 해보세요
2026-04-12 00:38:12,SharePlan,틸퇴 하셔야 새로운 그룹을 가입할 수 있어요
2026-04-12 00:39:50,보리20,사진
2026-04-12 00:41:52,SharePlan,구글 정책으로 그룹 변경 제한이 되어서 새로운 계정이 필요 합니다.
2026-04-12 00:45:31,보리20,hwangbori20@gmail.com
2026-04-12 00:45:46,SharePlan,힘내세요^^
2026-04-12 00:46:17,SharePlan,프리미엄 많이 사용하다면 적응하게 되는 것 같습니다
2026-04-12 00:46:27,보리20,네^^
2026-04-12 00:51:21,보리20,메일이 아직 안 오네요 
2026-04-12 00:51:51,SharePlan,"네, 곧 완료될 것 입니다"
2026-04-12 00:52:06,SharePlan,완료 되었습니다
2026-04-12 00:52:57,보리20,사진
2026-04-12 00:54:22,SharePlan,"국가 설정 오류 해결 방법:

1단계: 결제 설정 페이지 이동:
 
https://payments.google.com/gp/w/u/7/home/settings

2단계: 하단 [결제 프로필 닫기] 선택 및 진행

3단계: 모든 프로필 삭제 확인 후 초대 수락

*참고: 기존 결제 프로필을 삭제해도 나중에 다시 만들 수 있으니 안심하세요."
2026-04-12 00:57:30,보리20,환장하겠네요
2026-04-12 00:58:11,보리20,하단에 결제 프로필이 아예 안 뜬데
2026-04-12 00:59:21,SharePlan,잠시만요..
2026-04-12 01:01:48,SharePlan,지금 새로 만드신 계정일까요?
2026-04-12 01:02:15,보리20,기존의 있던 계정이예요
2026-04-12 01:03:19,SharePlan,"그러면, 가족 그룹 또는 결제 프로필 중에 설정이 충돌되고 있을 가능성이 높아요"
