DATE,USER,MESSAGE
2026-04-02 19:33:57,SharePlan,안녕하세요. 무엇을 도와드릴까요?
2026-04-02 19:35:34,정민,유튜브 1년 가입하려구요
2026-04-02 19:37:29,정민,"catfishmin7@gmail.com, youtube 12개월, 50,000, 정민"
2026-04-02 19:46:42,SharePlan,안
2026-04-02 19:46:46,SharePlan,"네, 알겠습니다"
2026-04-02 19:47:00,SharePlan,잠시 후 완료되면 알려드리겠습니다
2026-04-02 19:47:31,정민,네 알겠습니다
2026-04-02 19:48:38,SharePlan,완료 되었습니다
2026-04-02 19:49:43,SharePlan,이메일으로 초대장 보냈습니다. 수락 후 피리미엄 바로 사용 가능합니다.
2026-04-02 19:51:48,SharePlan,"가입이 잘 안되시면 말씀해주세요.
해결 방법 안내 해드리겠습니다"
2026-04-02 19:53:23,정민,된거 같아요 바로 입금하겠습니다
2026-04-02 19:54:44,정민,정민 으로 방금 입금했습니다~~ 갑사합니다
2026-04-02 19:55:43,SharePlan,"네, 감사합니다. 

이용 중 문제 생기면 확실하게 복구 해드립니다. 즐거운 밤 되세요~"
2026-04-02 19:56:57,SharePlan,"원활한 소통을 위해 채널 추가 부탁드립니다, 감사합니다."
2026-04-02 19:57:20,정민,네 알겠습니다~
2026-04-02 19:57:36,SharePlan,"'SharePlan' 채널을 추가해 주셔서 감사합니다.
앞으로 다양한 소식과 혜택/정보를 메시지로 받으실 수 있습니다.

채널 추가 일시(한국시간 기준): 2026년 04월 02일 19:57 
수신거부: 홈>채널 차단"
2026-04-02 19:57:37,SharePlan,"SharePlan 구독 관리 채널에 오신 것을 환영합니다. 

해외·국내 프리미엄 구독을 합리적으로 이용하실 수 있도록, 가입·결제·기간 관리·해지를 대신 도와드립니다."
