Catalog ID,Category,Format,Raw seller title,Approved internal title,Official vendor name,Plan / duration,Commercial modifier,Governance status,Confidence,Korean description,Approval note,Next action,Current listed price (KRW),Pricing note,Source
CAT-0001,Design/Dev,annual,supabase 12m - 40$,Supabase Pro Plan 12개월,Supabase Pro,12개월,Own email / private access,Approved,High,"구독형 프로 플랜, 계정 연동형",Naming and modifier separation looks stable,Official price/access confirmation,84000.0,Explicit 40% margin adjustment,original
CAT-0003,Social/Professional,annual voucher,Linkedin 75% Discount voucher 12 months - 20$,LinkedIn Premium All-in-One 12개월 바우처 (75% off),LinkedIn Premium All-in-One,12개월,75% off voucher,Approved,High,"프로모션 바우처, 할인 조건형",Voucher wording needs final redemption check,Confirm voucher redemption terms,39000.0,Explicit 30% margin adjustment,original
CAT-0005,PM/Collaboration,annual seat bundle,Linear business - 20$ 12 months includes 5 seats,Linear Business 12개월,Linear Business,12개월,Seat bundle / workspace access,Approved,High,워크스페이스 좌석형 연간 플랜,Seat bundle condition needs confirmation,Confirm 5-seat bundle condition,42200.0,40% margin applied,original
CAT-0006,Design/Web,annual subscription,Framer - 30$ 12 months,Framer Pro 12개월,Framer Pro,12개월,Annualized reseller offer,Provisional,Medium,웹사이트 빌더 프로 플랜,Plan type needs official page verification,Confirm site/workspace plan type,63300.0,40% margin applied,original
CAT-0002,Trading/Finance,monthly,Trading view one month - 10$ (provisioned account),TradingView Premium 1개월 (Provisioned Account),TradingView Premium,1개월,Provisioned account,Approved,High,차트/트레이딩 도구 프리미엄 플랜,Premium vs Pro wording requires confirmation,Confirm Premium vs legacy Pro wording,20000.0,Explicit adjustment,original
CAT-0004,Productivity,annual code,Ms office 365 12 months - 5$,Microsoft 365 Personal 12개월,Microsoft 365 Personal,12개월,Likely 1-person annual code,Provisional,Medium,개인용 생산성 구독 플랜,SKU needs family-level verification,Verify Personal vs Family SKU,20000.0,Explicit adjustment,original
CAT-0007,Design/Dev,education,Figma Education 12개월,Figma Education 12개월,Figma Education,12개월,Education plan / student-verified access,Approved,High,Education plan mirrors Pro features for qualifying users,Education-qualified access requires verification,Verify eligibility and whether account is truly education-based,21100.0,Education-qualified access requires verification,new addendum
CAT-0008,Design,annual subscription,MagicPattern 12개월,MagicPattern 12개월,MagicPattern,12개월,Pattern/design tool subscription,Provisional,Medium,Pricing public but plan detail should be confirmed,"Design pattern tool, confirm paid tier",Confirm exact tier and seat count,52700.0,"Design pattern tool, confirm paid tier",new addendum
CAT-0009,Support/CRM,annual seat,Intercom Essential 12개월,Intercom Essential 12개월,Intercom Essential,12개월,Support / inbox seat plan,Approved,High,Essential plan starts at $29/seat/month annual billing,"Support seat plan, annual billing basis",Confirm seat count and AI add-on use,63300.0,"Support seat plan, annual billing basis",new addendum
CAT-0010,Project management,annual subscription,Asana 12개월,Asana 12개월,Asana,12개월,Project management subscription,Provisional,Medium,Need exact plan level confirmation,"Project management suite, exact tier pending",Confirm Starter / Advanced / Enterprise equivalent,63300.0,"Project management suite, exact tier pending",new addendum
CAT-0011,DevOps/Hosting,annual subscription,Railway Pro 12개월,Railway Pro 12개월,Railway Pro,12개월,Developer hosting / deployment plan,Approved,High,Pro tier confirmed as developer hosting plan,Developer hosting pro plan,Confirm workspace or usage condition,84400.0,Developer hosting pro plan,new addendum
