DATE,USER,MESSAGE
2025-09-28 23:07:07,CHOI,결제 안내
2025-09-28 23:07:07,SharePlan(메뉴),"쉐어플랜(SharePlan)
계좌번호: 43414622001010 (IBK기업은행)
예금주: 최웅비
연락처: 010-2364-8676

양식:
(서비스명, 가입기간, 이메일ID, 입금좌명, 입금 금액)

을 메시지로 남겨 주시면 가입을 완료 해드리겠습니다. "
2025-09-28 23:07:09,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-09-28 23:07:09,CHOI,서비스 목록
2025-09-28 23:07:14,CHOI,안녕하세요 
2025-09-28 23:07:22,CHOI,유튜브 프리미엄 2인 가능한가요
2025-09-28 23:07:38,SharePlan,안녕하세요
2025-09-28 23:07:43,SharePlan,네
2025-09-28 23:09:19,SharePlan,"25,000 x 2 = 50,000원 입니다."
2025-09-28 23:09:24,SharePlan,"같이 가입 하셔서 5,000 디스카운트 해드리겠습니다!"
2025-09-28 23:09:59,CHOI,아 그럼 45000인가요?ㅎㅎ
2025-09-28 23:10:15,CHOI,혹시 국적이 어디로..되는건가요?
2025-09-28 23:10:22,SharePlan,"총 45,000 이고 지금은 유뷰브가 불안정할 수도 있어서 6 개월 단위로만 가입을 받고 있습니다."
2025-09-28 23:10:35,SharePlan,Korean-American입니다.
2025-09-28 23:10:53,SharePlan,미국에서 오랫동안 살았습니다^^
2025-09-28 23:11:12,CHOI,아 아녀ㅋㅋ 유튜브 국적이 바뀌나해서요
2025-09-28 23:11:29,CHOI,저번에 유튭뮤직에 인도음악만 추천으로 쫙올라와서..
2025-09-28 23:11:30,SharePlan,아하 유튜브 국적이요
2025-09-28 23:12:21,SharePlan,저는 제 한국어가 약간 수툴다는 것 같다 생각해서 국적 대해서 문의하셨다 오해를 했습니다
2025-09-28 23:14:02,SharePlan,"유튜브 국적은, 뱅글라대시 / 인도 입니다.
국적은 상품 품질와 서비스 기준에 전혀 차이가 없습니다.
또한, 안정성도 생각보다 신뢰한 편입니다."
2025-09-28 23:14:24,SharePlan,유뷰브는 국제 제품 입니다.
2025-09-28 23:15:22,SharePlan,국적 영양을 받는 추천 없을 것 입니다.
2025-09-28 23:16:13,SharePlan,"초기에 짐깐 있을 수도 있는데, 추천은 개인 성향에 의해 받는 것이 때문에 지속적으로 이상한 인도 음악 추천받지 않을 것 입니다!"
2026-04-03 14:30:52,SharePlan,"안녕하세요, SharePlan입니다.
마지막 대화 내용을 보니 당시 서비스를 제대로 제공해 드리지 못했던 것 같아 연락드렸습니다.

혹시 아직 유튜브 프리미엄 구독이 필요하신가요? 현재 이용 가능한 상품 안내드립니다.

유튜브 프리미엄 (+뮤직)
- 6개월: 25,000원 (품절)
- 12개월: 50,000원

최근에는 서비스가 끊기는 일이 거의 없으며, 혹시라도 문제가 발생할 경우 즉시 복구 또는 환불해 드립니다.
이용을 원하신다면 아이디만 알려주세요. 먼저 가입 처리부터 진행해 드리겠습니다."
