DATE,USER,MESSAGE
2025-10-23 16:06:05,SharePlan,"안녕하세요. 무엇을 도와드릴까요?
- 이전 페이지: https://s.ppomppu.co.kr/"
2025-10-23 16:07:38,현민,유튜브 가입 문의드립니다
2025-10-23 16:07:53,SharePlan,안녕하세요
2025-10-23 16:08:01,SharePlan,"네, 가능합니다"
2025-10-23 16:08:19,현민,사업자 있으신가요 ?
2025-10-23 16:08:32,SharePlan,기존 계정 대신 새로운 계정을 권장 드립니다.
2025-10-23 16:08:46,현민,서비스 목록
2025-10-23 16:08:46,SharePlan(메뉴),"서비스 목록:
1. 유튜브 프리미엄(Youtube)
2. Canva Pro
2. 코세라 플러스(Coursera)"
2025-10-23 16:08:50,SharePlan,아닙니다.
2025-10-23 16:09:22,현민,요즘 많이 끊기는데
2025-10-23 16:09:26,현민,처리 빨리해주시나요 ?
2025-10-23 16:09:28,SharePlan,기존 계정은 개인화 되어서 취소가 더욱 빈번한 것 같습니다
2025-10-23 16:09:57,현민,가족그룹인가여 ?
2025-10-23 16:10:30,SharePlan,보통 3시간 이내 가능하고 취소가 많을 때 1-2일 소요 될수 있는데 전부 처리 하고 있습니다.
2025-10-23 16:11:13,SharePlan,"네, 맞습니다. 혼자 사용할 때는 개인 계정이 필요 없습니다."
2025-10-23 16:11:31,SharePlan,개인 계정은 패밀리 모집하기 위함입니다.
2025-10-23 16:11:56,SharePlan,그 외는 차별화 된 것이 없어서 돈 낭비 입니다.
2025-10-23 16:12:42,현민,생각해보고 연락드리겠습니다
2025-10-23 16:13:50,SharePlan,"네, 알겠습니다."
2026-04-03 16:53:51,SharePlan,"안녕하세요, SharePlan입니다.
마지막 대화 내용을 보니 당시 서비스를 제대로 제공해 드리지 못했던 것 같아 연락드렸습니다.

혹시 아직 유튜브 프리미엄 구독이 필요하신가요? 현재 이용 가능한 상품 안내드립니다.

유튜브 프리미엄 (+뮤직)
- 6개월: 25,000원 (품절)
- 12개월: 50,000원

최근에는 서비스가 끊기는 일이 거의 없으며, 혹시라도 문제가 발생할 경우 즉시 복구 또는 환불해 드립니다.
이용을 원하신다면 아이디만 알려주세요. 먼저 가입 처리부터 진행해 드리겠습니다.

(가입 하실  경우 5,000원 디스카운트 적용 해드리겠습니다.)"
